# id;sudoku_id;player_id;current;total_time;finished
1;2;1;394257618765..1.....1..93..9...2..3..53...79..4..3...6..21..8.....8..47..86.....1;327;0
2;3;2;563987412784321695192564387631859274925473861847216953259148736316792548478635129;721;1
